international_id,tc_number,name,time,grade,grade_name,lat,lon,pressure_hpa,max_wind_kt,dir_50kt,dir_50kt_name,rad_50kt_long_nm,rad_50kt_short_nm,dir_30kt,dir_30kt_name,rad_30kt_long_nm,rad_30kt_short_nm,landfall_flag,flag_last,time_diff_hours,revision_date
5101,,,1951-02-19 06:00:00,2,Tropical Depression (TD),20.0,138.5,1010.0,,,,,,,,,,,0,6,19901017
5101,,,1951-02-19 12:00:00,2,Tropical Depression (TD),20.0,138.5,1010.0,,,,,,,,,,,0,6,19901017
5101,,,1951-02-19 18:00:00,2,Tropical Depression (TD),23.0,142.1,1000.0,,,,,,,,,,,0,6,19901017
5101,,,1951-02-20 00:00:00,9,TC of TS intensity or higher,25.0,146.0,994.0,,,,,,,,,,,0,6,19901017
5101,,,1951-02-20 06:00:00,9,TC of TS intensity or higher,27.6,150.6,994.0,,,,,,,,,,,0,6,19901017
5101,,,1951-02-20 12:00:00,9,TC of TS intensity or higher,28.9,153.3,994.0,,,,,,,,,,,0,6,19901017
5101,,,1951-02-20 18:00:00,9,TC of TS intensity or higher,31.3,157.5,992.0,,,,,,,,,,,0,6,19901017
5101,,,1951-02-21 00:00:00,9,TC of TS intensity or higher,32.6,162.1,990.0,,,,,,,,,,,0,6,19901017
5101,,,1951-02-21 06:00:00,6,Extra-tropical Cyclone (L),33.9,166.0,990.0,,,,,,,,,,,0,6,19901017
5101,,,1951-02-21 12:00:00,6,Extra-tropical Cyclone (L),36.0,170.0,990.0,,,,,,,,,,,0,6,19901017
5102,,GEORGIA,1951-03-18 06:00:00,2,Tropical Depression (TD),5.7,158.3,1002.0,,,,,,,,,,,0,6,20130319
5102,,GEORGIA,1951-03-18 12:00:00,2,Tropical Depression (TD),6.0,159.4,1002.0,,,,,,,,,,,0,6,20130319
5102,,GEORGIA,1951-03-18 18:00:00,2,Tropical Depression (TD),6.4,160.4,1000.0,,,,,,,,,,,0,6,20130319
5102,,GEORGIA,1951-03-19 00:00:00,2,Tropical Depression (TD),6.7,161.4,1000.0,,,,,,,,,,,0,6,20130319
5102,,GEORGIA,1951-03-19 06:00:00,2,Tropical Depression (TD),7.0,162.5,998.0,,,,,,,,,,,0,6,20130319
5102,,GEORGIA,1951-03-19 12:00:00,2,Tropical Depression (TD),7.3,163.5,998.0,,,,,,,,,,,0,6,20130319
5102,,GEORGIA,1951-03-19 18:00:00,2,Tropical Depression (TD),7.5,164.7,994.0,,,,,,,,,,,0,6,20130319
5102,,GEORGIA,1951-03-20 00:00:00,2,Tropical Depression (TD),7.6,166.2,990.0,,,,,,,,,,,0,6,20130319
5102,,GEORGIA,1951-03-20 06:00:00,2,Tropical Depression (TD),7.8,167.4,990.0,,,,,,,,,,,0,6,20130319
5102,,GEORGIA,1951-03-20 12:00:00,2,Tropical Depression (TD),8.0,168.5,985.0,,,,,,,,,,,0,6,20130319
5102,,GEORGIA,1951-03-20 18:00:00,9,TC of TS intensity or higher,8.2,169.5,980.0,,,,,,,,,,,0,6,20130319
5102,,GEORGIA,1951-03-21 00:00:00,9,TC of TS intensity or higher,8.5,170.5,980.0,,,,,,,,,,,0,6,20130319
5102,,GEORGIA,1951-03-21 06:00:00,9,TC of TS intensity or higher,8.8,171.6,978.0,,,,,,,,,,,0,6,20130319
5102,,GEORGIA,1951-03-21 12:00:00,9,TC of TS intensity or higher,9.1,171.9,978.0,,,,,,,,,,,0,6,20130319
5102,,GEORGIA,1951-03-21 18:00:00,9,TC of TS intensity or higher,9.4,172.2,978.0,,,,,,,,,,,0,6,20130319
5102,,GEORGIA,1951-03-22 00:00:00,9,TC of TS intensity or higher,9.8,172.2,970.0,,,,,,,,,,,0,6,20130319
5102,,GEORGIA,1951-03-22 06:00:00,9,TC of TS intensity or higher,10.2,172.0,970.0,,,,,,,,,,,0,6,20130319
5102,,GEORGIA,1951-03-22 12:00:00,9,TC of TS intensity or higher,10.3,171.7,970.0,,,,,,,,,,,0,6,20130319
